,위      치,아파트명,동수,층수,세대수,인구수,건축 연도,lat,lng,연식,score
581,국채보상로71길33,황궁빌라트A동,1,7,12,33,2004,35.8751935,128.5700439,16,20
582,국채보상로76길49,한마음 타운,1,9,16,80,2002,35.867801,128.5720894,18,20
583,달구벌대로1707,광장타운 1차,6,12,672,2738,1984,35.8571501,128.5524512,36,40
584,달구벌대로337길8,광장타운 2차,2,12,180,842,1987,35.8560995,128.5502229,33,40
585,달구벌대로337길29,내당 동화타운,2,6,102,357,1994,35.8571827,128.55045619999999,26,30
586,달구벌대로357길13,드림 하이츠,1,7,12,46,2001,35.8607651,128.5593189,19,20
587,달구벌대로361길9,세    신,1,5,41,157,1981,35.8601761,128.56133549999998,39,40
588,달구벌대로371길45,월    성,1,5,39,180,1981,35.8650933,128.56699070000002,39,40
589,달구벌대로377안길10,보    라,1,5,58,220,1988,35.863338,128.5682228,32,40
590,달서로34-1,내당동 호창 프레시앙,1,10,26,69,2018,35.8650878,128.5713955,2,10
591,달서로9길36,선빌  골든타운,1,10,19,95,2002,35.865395899999996,128.5670405,18,20
592,달서로12길45-8,삼흥타운,1,8,19,18,2003,35.8693454,128.5752032,17,20
593,달서로12길57-13,삼흥타운,1,9,16,28,2003,35.86975109999999,128.57538219999998,17,20
594,달서로17길17,한신  휴플러스,3,20,335,321,2005,35.870412,128.5690917,15,20
595,달서로20길2,디오하이넷 시티,1,9,17,42,2003,35.8709364,128.5715892,17,20
596,달서로25길24,제네스빌,1,9,18,41,2003,35.8743583,128.5688342,17,20
597,달서로33길2,그린파크 103,1,11,19,78,2002,35.876956400000005,128.5708107,18,20
598,달서로33길5,그린파크 105,1,9,16,72,2002,35.8766723,128.5706603,18,20
599,달서로33길6,그린파크 102,1,11,19,76,2002,35.8769567,128.570546,18,20
600,달서로33길8,그린파크 101,1,10,16,80,2002,35.8770154,128.57033159999997,18,20
601,통학로52길68,비산하이츠102동,1,8,19,68,2004,35.8837611,128.5702958,16,20
602,평리로172,퀸 스 빌,1,10,18,21,2003,35.8594636,128.5429972,17,20
603,평리로214,내당광명,4,5,230,995,1981,35.860798200000005,128.5468362,39,40
604,평리로305,드림팰리스 A,1,9,19,65,2014,35.8631964,128.5547689,6,10
605,평리로307,드림팰리스 B,1,9,19,65,2014,35.8639684,128.5569896,6,10
606,평리로215,중리 광명맨션,4,5,120,523,1983,35.8620171,128.547158,37,40
607,평리로221,중리 꽃동네,9,5,525,2329,1981,35.8632306,128.547483,39,40
608,평리로236,삼익 뉴타운,16,12,1776,6163,1983,35.860811,128.5489633,37,40
609,평리로318,태양골든,1,9,16,33,2001,35.86382590000001,128.55818,19,20
610,평리로320,태양골든,1,9,16,54,2001,35.86387879999999,128.5584129,19,20
611,평리로376,네 오 젠,1,10,19,39,2003,35.8655807,128.5641728,17,20
612,평리로43길36,동서제일,1,5,60,252,1980,35.873222399999996,128.5536465,40,40
613,평리로57길15,평리동서 1차,4,5,110,511,1981,35.8648007,128.554174,39,40
614,평리로62길34,서인  에세스빌,1,8,22,55,2003,35.8606896,128.5575335,17,20
615,서대구로10길63,부민 빌라트 ,1,10,18,72,2002,35.864901399999994,128.56294,18,20
616,서대구로10길65,신성 빌라트,1,10,18,81,2002,35.8649841,128.56319969999998,18,20
617,서대구로15길31,중리양지,1,5,50,215,1981,35.8634914,128.5529314,39,40
618,서대구로18길9,평리동서 4차,1,5,35,129,1986,35.865778000000006,128.557031,34,40
619,서대구로25길11,평리 윙스,1,10,16,13,2016,35.8693161,128.5530472,4,10
620,서대구로63길28-16,진성 하이츠,1,9,16,30,2001,35.888833700000006,128.5578238,19,20
621,서대구로63길28-20,진성 하이츠,1,9,16,34,2001,35.8889316,128.5580892,19,20
622,서대구로63안길 19,엘리시안,1,6,18,36,2016,35.8858739,128.5552545,4,10
623,염색공단로116,비산염색 공단,1,6,50,150,1988,35.885070500000005,128.5437003,32,40
624,염색공단로11길35,비산보성,2,5,130,590,1983,35.8849012,128.5537348,37,40
625,원대로21-8,제네스빌 102동,1,8,16,16,2003,35.8797395,128.5794968,17,20
626,원대로25,제네스빌 101동,1,9,18,84,2003,35.879683299999996,128.5797611,17,20
627,원대로13길2,원대금류,1,16,125,513,1997,35.883136,128.5807288,23,30
628,큰장로19길12,부성  꿈그린,1,7,16,56,2005,35.8680419,128.57637979999998,15,20
629,통학로39,보성홍실 2차,5,5,294,4199,1988,35.86410559999999,128.5635146,32,40
630,통학로46,황제맨션,5,15,478,1900,1988,35.8645672,128.5648378,32,40
631,통학로55-9,골든 파크빌,1,8,16,43,2001,35.8650317,128.56342709999998,19,20
632,통학로18길38,장    미,1,6,10,44,2001,35.86843959999999,128.56742759999997,19,20
633,통학로18길44,장    미,1,6,10,33,2001,35.8683402,128.5660159,19,20
634,통학로22길18,전원  드림시티,1,10,18,25,2003,35.8683402,128.5660159,17,20
635,통학로24길60,비산우방,2,14,183,662,1995,35.871163700000004,128.5700272,25,30
636,통학로28길 5-47,다인 하이빌,1,5,12,26,2018,35.873510700000004,128.563352,2,10
637,통학로52길64,비산  하이츠,1,9,16,116,2005,35.883841700000005,128.5700295,15,20
638,관문시장1길18,조은주택,1,9,32,97,2003,35.836831700000005,128.5586705,17,20
639,대경길125,노블캐슬,1,9,14,49,2016,35.8476565,128.5753761,4,10
640,대경길222,대명,2,5,30,150,1991,35.8465748,128.5772075,29,30
641,대덕로146,스카이 파크,1,15,26,67,2004,35.8406379,128.5987433,16,20
642,대덕로150,봉덕,2,"4,5",45,144,1979,35.8406237,128.5994339,41,40
643,대명길258,경북,3,5,60,240,1983,35.839290999999996,128.565469,37,40
644,대명남1길6,신영맨션,1,6,11,44,2001,35.902168700000004,128.849098,19,20
645,대명남1길35,아리랑 빌라트,1,9,11,39,2016,35.902168700000004,128.849098,4,10
646,대명남2길 19,더푸르지오아파트,1,8,10,42,2015,35.902168700000004,128.849098,5,10
647,대명로37,코스모스,2,5,49,191,1983,35.8390022,128.5615504,37,40
648,대명로41,스카이 파크,1,13,17,60,2017,35.8398592,128.5381599,3,10
649,대명로51,삼 아,2,4,38,177,1978,35.8392413,128.5630277,42,40
650,대명로83,드림 팰리스,1,14,26,126,2016,35.839842499999996,128.56705559999997,4,10
651,대명로117,개나리,3,10,427,1579,1980,35.8402096,128.570047,40,40
652,대명로140,현우 팰리스,1,18,29,102,2016,35.83898189999999,128.5729251,4,10
653,대명로145,용마,2,10,162,615,1979,35.8396648,128.57372809999998,41,40
654,대명로177,동신점보,1,13,202,642,1979,35.8394338,128.57717340000002,41,40
655,대명로10길6,우방 코스모스,5,5,264,985,1981,35.8378062,128.5628913,39,40
656,대명로49길12,신새한,4,5,48,206,1981,35.8425975,128.58312859999998,39,40
657,대명로53길33,영대맨션,1,5,19,76,2001,35.8445831,128.5855476,19,20
658,대명복개로192,대명세신,2,5,62,234,1982,35.902168700000004,128.849098,38,40
659,대명복개로230,파크맨션,4,11,553,1950,1982,35.902168700000004,128.849098,38,40
660,대명복개로3길32,삼정비취,2,5,53,206,1983,35.902168700000004,128.849098,37,40
661,대명복개로4길 104,나나 바루아,1,9,36,142,2015,35.902168700000004,128.849098,5,10
662,대명복개로4길127,아진상가,2,4,48,187,1981,35.902168700000004,128.849098,39,40
663,대명서로17,삼두,4,5,160,608,1980,35.829144899999996,128.5610648,40,40
664,대명역2길41,뉴우방 코스모스,4,5,188,670,1983,35.8376345,128.5622171,37,40
665,대명역2길75,휴앤,1,10,17,68,2008,35.837348399999996,128.56056470000001,12,20
666,대봉로42,봉덕한도,1,5,35,133,1980,35.842487799999994,128.6044393,40,40
667,대봉로146,이천,2,5,54,216,1981,35.8516434,128.603705,39,40
668,대봉로26길37,이천동 뜨란채4단지,2,22,193,1293,2006,35.85061029999999,128.6060774,14,20
669,대봉로26길38,이천동 뜨란채3단지,3,20,241,964,2006,35.849351399999996,128.6056726,14,20
670,도촌길138,금강 리치타운,1,9,17,43,2006,35.8407463,128.56518799999998,14,20
671,두류공원로72,세종맨션,3,5,120,456,1980,35.84381079999999,128.5705233,40,40
