,대지위치,사용량(KWh)
14,대구광역시 수성구 수성동4가,24370.96
15,대구광역시 수성구 시지동,32392.0
16,대구광역시 수성구 신매동,40044.47525
17,대구광역시 수성구 연호동,15045.75
18,대구광역시 수성구 욱수동,37167.46667
19,대구광역시 수성구 이천동,19136.5
20,대구광역시 수성구 중동,7757.009709
21,대구광역시 수성구 지산동,10985.4684
22,대구광역시 수성구 파동,9412.449275
23,대구광역시 수성구 황금동,20070.5125
