순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1277,대구광역시 남구 대명동 350-1번지,27200,10300,0,0350,0001,202008,대구광역시 남구 현충로18길 12,1,272004232336,0,12,0,128
1278,대구광역시 남구 대명동 351-9번지,27200,10300,0,0351,0009,202008,대구광역시 남구 현충로 70,1,272003144010,0,70,0,12
1279,대구광역시 남구 대명동 353-1번지,27200,10300,0,0353,0001,202008,대구광역시 남구 큰골5길 59,1,272004232326,0,59,0,210
1280,대구광역시 남구 대명동 36-3번지,27200,10300,0,0036,0003,202008,대구광역시 남구 중앙대로31길 14-4,1,272004232302,0,14,4,549
1281,대구광역시 남구 대명동 36-5번지,27200,10300,0,0036,0005,202008,대구광역시 남구 중앙대로31길 10,1,272004232302,0,10,0,163
1282,대구광역시 남구 대명동 369-1번지,27200,10300,0,0369,0001,202008,대구광역시 남구 자유3길 24,1,272004232281,0,24,0,117
1283,대구광역시 남구 대명동 375-9번지,27200,10300,0,0375,0009,202008,대구광역시 남구 자유길 82,1,272004232285,0,82,0,152
1284,대구광역시 남구 대명동 376-6번지,27200,10300,0,0376,0006,202008,대구광역시 남구 자유3길 25,1,272004232281,0,25,0,373
1285,대구광역시 남구 대명동 38-2번지,27200,10300,0,0038,0002,202008,대구광역시 남구 중앙대로31길 9-5,1,272004232302,0,9,5,1074
1286,대구광역시 남구 대명동 380-11번지,27200,10300,0,0380,0011,202008,대구광역시 남구 자유1길 77-3,1,272004232279,0,77,3,280
1287,대구광역시 남구 대명동 380-4번지,27200,10300,0,0380,0004,202008,대구광역시 남구 자유5길 16,1,272004232283,0,16,0,420
1288,대구광역시 남구 대명동 381-10번지,27200,10300,0,0381,0010,202008,대구광역시 남구 자유3길 27,1,272004232281,0,27,0,280
1289,대구광역시 남구 대명동 381-23번지,27200,10300,0,0381,0023,202008,대구광역시 남구 자유5길 38,1,272004232283,0,38,0,128
1290,대구광역시 남구 대명동 381-8번지,27200,10300,0,0381,0008,202008,대구광역시 남구 자유1길 60-1,1,272004232279,0,60,1,549
1291,대구광역시 남구 대명동 39-1번지,27200,10300,0,0039,0001,202008,대구광역시 남구 중앙대로 141,1,272002007001,0,141,0,5252
1292,대구광역시 남구 대명동 394-4번지,27200,10300,0,0394,0004,202008,대구광역시 남구 자유길 143,1,272004232285,0,143,0,187
1293,대구광역시 남구 대명동 40-1번지,27200,10300,0,0040,0001,202008,대구광역시 남구 대명로 317,1,272003144003,0,317,0,6655
1294,대구광역시 남구 대명동 405-3번지,27200,10300,0,0405,0003,202008,대구광역시 남구 큰골길 183,1,272004232331,0,183,0,4893
1295,대구광역시 남구 대명동 417-34번지,27200,10300,0,0417,0034,202008,대구광역시 남구 큰골8길 43,1,272004232329,0,43,0,7825
1296,대구광역시 남구 대명동 421-11번지,27200,10300,0,0421,0011,202008,대구광역시 남구 큰골길 179,1,272004232331,0,179,0,409
1297,대구광역시 남구 대명동 421-14번지,27200,10300,0,0421,0014,202008,대구광역시 남구 큰골길 171,1,272004232331,0,171,0,163
1298,대구광역시 남구 대명동 423-7번지,27200,10300,0,0423,0007,202008,대구광역시 남구 큰골길 155,1,272004232331,0,155,0,210
1299,대구광역시 남구 대명동 427-5번지,27200,10300,0,0427,0005,202008,대구광역시 남구 큰골10길 27,1,272004232321,0,27,0,327
1300,대구광역시 남구 대명동 439번지,27200,10300,0,0439,0000,202008,대구광역시 남구 큰골길 137,1,272004232331,0,137,0,782
1301,대구광역시 남구 대명동 441-1번지,27200,10300,0,0441,0001,202008,대구광역시 남구 자유5길 48,1,272004232283,0,48,0,1647
