순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
468,대구광역시 서구 비산동 1233-9번지,27170,10200,0,1233,0009,202008,대구광역시 서구 달서천로57길 46-1,1,271704229122,0,46,1,116
469,대구광역시 서구 비산동 1237-13번지,27170,10200,0,1237,0013,202008,대구광역시 서구 달서천로57길 46,1,271704229122,0,46,0,970
470,대구광역시 서구 비산동 1237-6번지,27170,10200,0,1237,0006,202008,대구광역시 서구 달서천로57길 44,1,271704229122,0,44,0,210
471,대구광역시 서구 비산동 1237-9번지,27170,10200,0,1237,0009,202008,대구광역시 서구 달서천로57길 42,1,271704229122,0,42,0,526
472,대구광역시 서구 비산동 1238-11번지,27170,10200,0,1238,0011,202008,대구광역시 서구 달서천로57길 36-9,1,271704229122,0,36,9,432
473,대구광역시 서구 비산동 1238-14번지,27170,10200,0,1238,0014,202008,대구광역시 서구 달서천로57길 40,1,271704229122,0,40,0,82
474,대구광역시 서구 비산동 1240-12번지,27170,10200,0,1240,0012,202008,대구광역시 서구 달서천로57길 33-1,1,271704229122,0,33,1,806
475,대구광역시 서구 비산동 1240-14번지,27170,10200,0,1240,0014,202008,대구광역시 서구 달서천로57길 33,1,271704229122,0,33,0,105
476,대구광역시 서구 비산동 1240-16번지,27170,10200,0,1240,0016,202008,대구광역시 서구 서대구로62길 71,1,271704229240,0,71,0,444
477,대구광역시 서구 비산동 1241-1번지,27170,10200,0,1241,0001,202008,대구광역시 서구 달서천로57길 39,1,271704229122,0,39,0,1203
478,대구광역시 서구 비산동 1241-3번지,27170,10200,0,1241,0003,202008,대구광역시 서구 달서천로57길 37-1,1,271704229122,0,37,1,93
479,대구광역시 서구 비산동 1243-3번지,27170,10200,0,1243,0003,202008,대구광역시 서구 달서천로55길 38-3,1,271704229121,0,38,3,409
480,대구광역시 서구 비산동 1244-5번지,27170,10200,0,1244,0005,202008,대구광역시 서구 달서천로57길 41,1,271704229122,0,41,0,257
481,대구광역시 서구 비산동 1247-3번지,27170,10200,0,1247,0003,202008,대구광역시 서구 달서천로57길 45,1,271704229122,0,45,0,1237
482,대구광역시 서구 비산동 1248-1번지,27170,10200,0,1248,0001,202008,대구광역시 서구 서대구로 376-1,1,271703143006,0,376,1,4740
483,대구광역시 서구 비산동 1248-3번지,27170,10200,0,1248,0003,202008,대구광역시 서구 달서천로41길 85,1,271704229116,0,85,0,198
484,대구광역시 서구 비산동 1249-2번지,27170,10200,0,1249,0002,202008,대구광역시 서구 달서천로41길 81-1,1,271704229116,0,81,1,525
485,대구광역시 서구 비산동 1249-6번지,27170,10200,0,1249,0006,202008,대구광역시 서구 서대구로 376,1,271703143006,0,376,0,47
486,대구광역시 서구 비산동 125-1번지,27170,10200,0,0125,0001,202008,대구광역시 서구 국채보상로81길 40,1,271704229065,0,40,0,280
487,대구광역시 서구 비산동 125-22번지,27170,10200,0,0125,0022,202008,대구광역시 서구 국채보상로81길 43,1,271704229065,0,43,0,117
488,대구광역시 서구 비산동 1250-8번지,27170,10200,0,1250,0008,202008,대구광역시 서구 달서천로41길 79,1,271704229116,0,79,0,58
489,대구광역시 서구 비산동 1253-14번지,27170,10200,0,1253,0014,202008,대구광역시 서구 서대구로 360,1,271703143006,0,360,0,548
490,대구광역시 서구 비산동 1253-23번지,27170,10200,0,1253,0023,202008,대구광역시 서구 서대구로 360-3,1,271703143006,0,360,3,58
491,대구광역시 서구 비산동 1255-5번지,27170,10200,0,1255,0005,202008,대구광역시 서구 달서천로53길 48,1,271704229120,0,48,0,140
492,대구광역시 서구 비산동 1256-16번지,27170,10200,0,1256,0016,202008,대구광역시 서구 달서천로41길 70,1,271704229116,0,70,0,152
493,대구광역시 서구 비산동 1256-34번지,27170,10200,0,1256,0034,202008,대구광역시 서구 달서천로41길 68,1,271704229116,0,68,0,128
494,대구광역시 서구 비산동 1257-9번지,27170,10200,0,1257,0009,202008,대구광역시 서구 달서천로41길 74,1,271704229116,0,74,0,70
495,대구광역시 서구 비산동 1258-19번지,27170,10200,0,1258,0019,202008,대구광역시 서구 달서천로41길 76-2,1,271704229116,0,76,2,315
496,대구광역시 서구 비산동 1258-1번지,27170,10200,0,1258,0001,202008,대구광역시 서구 달서천로41길 82,1,271704229116,0,82,0,444
497,대구광역시 서구 비산동 1260-1번지,27170,10200,0,1260,0001,202008,대구광역시 서구 달서천로55길 47-1,1,271704229121,0,47,1,467
498,대구광역시 서구 비산동 1260-6번지,27170,10200,0,1260,0006,202008,대구광역시 서구 달서천로53길 40-65,1,271704229120,0,40,65,1378
499,대구광역시 서구 비산동 1266-9번지,27170,10200,0,1266,0009,202008,대구광역시 서구 달서천로53길 40,1,271704229120,0,40,0,175
500,대구광역시 서구 비산동 1268-4번지,27170,10200,0,1268,0004,202008,대구광역시 서구 달서천로53길 34-43,1,271704229120,0,34,43,607
501,대구광역시 서구 비산동 1269-20번지,27170,10200,0,1269,0020,202008,대구광역시 서구 달서천로49안길 21,1,271704229119,0,21,0,105
502,대구광역시 서구 비산동 1270-1번지,27170,10200,0,1270,0001,202008,대구광역시 서구 달서천로53길 34-16,1,271704229120,0,34,16,397
503,대구광역시 서구 비산동 1273-1번지,27170,10200,0,1273,0001,202008,대구광역시 서구 달서천로53길 34-36,1,271704229120,0,34,36,619
504,대구광역시 서구 비산동 1273-2번지,27170,10200,0,1273,0002,202008,대구광역시 서구 달서천로53길 34-34,1,271704229120,0,34,34,444
