,Unnamed: 0,지역,0∼4세,5∼9세,10∼14세,15∼19세,20∼24세,25∼29세,30∼34세,35∼39세,40∼44세,45∼49세,50∼54세,55∼59세,60∼64세,65∼69세,70∼74세,75∼79세,80∼84세,85∼89세,90∼94세,95∼99세,100세이상,lat,lng,지수
0,0,삼덕동,240,263,178,202,705,1140,667,576,464,420,382,329,331,243,195,179,114,68,25,5,7,35.8655203,128.6088884,122.76
1,1,동인동,134,212,233,262,545,963,612,568,504,647,650,701,714,547,523,438,278,143,57,11,13,35.8713245,128.6072494,347.15
2,2,성내1동,72,97,96,144,590,810,467,302,259,306,307,328,349,222,225,216,126,67,37,6,7,37.5373468,127.12734420000001,341.89
3,3,성내2동,67,67,80,117,346,492,306,229,220,278,347,411,417,379,317,249,149,77,31,10,15,37.5323199,127.1294284,573.36
4,4,성내3동,310,260,89,146,312,342,456,602,357,340,340,396,371,288,223,186,123,44,20,8,5,37.5259868,127.13290020000001,136.12
5,5,대신동,513,401,256,308,410,419,598,852,561,615,648,598,617,443,351,303,189,84,25,10,11,35.8664553,128.5780578,121.03
6,6,남산1동,120,159,122,191,373,487,324,356,317,340,414,412,407,294,266,275,176,71,11,7,2,35.8593256,128.5904184,274.81
7,7,남산2동,105,105,103,162,291,323,272,282,229,324,331,309,272,249,245,188,128,76,22,9,14,35.863798100000004,128.58989029999998,297.44
8,8,남산3동,283,330,273,258,367,354,421,572,568,568,546,539,525,423,369,328,211,96,30,5,4,35.8612519,128.58710929999998,165.46
9,9,남산4동,403,567,515,575,697,647,605,817,910,1031,938,885,907,778,641,503,393,164,48,16,9,35.858214600000004,128.58053030000002,171.85
10,10,대봉1동,271,285,266,357,495,501,445,496,525,650,618,588,541,404,373,370,269,126,43,12,8,35.8616036,128.604334,195.26
11,11,대봉2동,35,43,60,104,117,140,106,110,143,237,209,206,209,196,224,186,101,51,18,3,6,35.858132,128.5998065,568.84
12,12,신암 1동,125,165,198,284,428,457,350,379,438,567,646,764,768,667,548,549,355,158,46,12,5,35.8842961,128.6163322,479.51
13,13,신암 2동,487,609,493,363,502,524,647,884,1009,892,786,766,784,635,536,478,284,152,39,12,10,35.879268700000004,128.6143595,135.05
14,14,신암 3동,327,400,268,325,467,519,570,732,587,637,686,736,785,601,473,375,272,98,38,12,3,35.879601799999996,128.6230817,188.14
15,15,신암 4동,201,275,304,422,833,1066,769,770,748,1056,1258,1395,1304,1006,771,588,350,140,50,10,10,35.8850183,128.629275,375.0
16,16,신암 5동,90,149,167,248,411,394,282,306,349,522,577,683,703,550,442,363,265,97,26,4,4,35.8897398,128.6330245,431.28
17,17,신천 1.2동,382,498,416,538,732,802,748,861,927,1043,1114,1133,1141,942,758,723,442,227,49,17,7,35.870019799999994,128.6149437,244.21
18,18,신천 3동,413,549,512,537,897,778,701,937,926,1035,1138,1083,942,677,540,429,309,156,42,11,8,35.8730511,128.6231546,147.35
19,19,신천 4동,58,109,150,219,471,843,589,472,471,551,638,693,671,584,400,339,221,101,30,5,4,35.871713899999996,128.6292753,531.23
20,20,효목 1동,242,321,334,564,875,963,713,760,780,1008,1221,1437,1427,1194,947,780,525,183,61,11,10,35.88163,128.6449126,413.71
21,21,효목 2동,358,441,475,590,880,1056,808,908,995,1162,1201,1358,1431,1134,883,646,444,212,69,11,10,35.8775744,128.6380523,267.58
22,22,도평동,102,100,123,150,270,348,242,216,208,306,357,396,388,306,249,219,144,74,16,3,0,35.9108207,128.6536889,311.08
23,23,불로봉무동,1127,1581,1402,1330,1458,1496,1380,2164,2334,2294,2146,2104,1963,1448,989,729,470,207,74,13,4,35.9101815,128.63921729999998,95.72
24,24,지저동,201,208,216,385,631,713,541,491,530,725,961,1130,1169,762,622,498,293,131,34,8,5,35.899664,128.64159479999998,376.48
25,25,동촌동,447,461,381,579,1004,1200,954,1019,955,1134,1447,1635,1521,1191,823,745,455,179,59,15,2,35.8868515,128.64957900000002,269.12
