,지역,0∼4세,5∼9세,10∼14세,15∼19세,20∼24세,25∼29세,30∼34세,35∼39세,40∼44세,45∼49세,50∼54세,55∼59세,60∼64세,65∼69세,70∼74세,75∼79세,80∼84세,85∼89세,90∼94세,95∼99세,100세이상,lat,lng,지수,유아노인
44,평리4동,622,765,593,663,1066,1278,1048,1354,1254,1368,1634,1892,1623,1236,820,572,354,174,70,15,4,35.8673241,128.5567823,163.89,4632
45,평리5동,34,59,42,80,109,132,85,113,120,148,187,224,213,164,112,86,46,13,5,1,6,35.8737682,128.5487269,320.74,526
46,평리6동,61,107,138,208,317,333,228,278,268,436,561,633,613,466,284,234,151,76,18,3,0,35.875157,128.5482269,402.61,1400
47,상중이동,518,833,796,939,1357,1360,1031,1248,1421,1639,1897,2133,1976,1403,914,605,376,171,68,24,12,35.8678798,128.5442835,166.42,4924
48,원대동,118,163,170,265,446,542,348,383,479,626,802,836,779,670,483,428,266,124,32,3,0,35.8867951,128.5744191,444.79,2287
49,이천동,350,496,499,561,629,631,584,766,905,1147,998,973,921,834,709,681,482,253,96,24,8,35.8536605,128.5993897,229.52,3933
50,봉덕1동,202,201,236,297,490,635,569,590,641,728,815,849,803,669,500,425,353,195,43,10,7,35.8455224,128.597751,344.6,2605
51,봉덕2동,309,383,418,479,551,569,514,627,698,814,896,934,1023,830,642,509,388,233,82,16,6,35.8438007,128.6009728,243.78,3398
52,봉덕3동,379,507,609,801,1019,1049,860,1083,1149,1466,1457,1507,1578,1180,873,798,582,299,83,14,11,35.8298567,128.5968828,256.86,4726
53,대명1동,234,325,352,438,802,948,708,738,716,897,1025,1028,1031,777,634,466,303,131,59,14,3,35.8403007,128.5768922,262.02,2946
54,대명2동,194,223,271,428,1019,1067,728,687,638,858,879,995,948,770,665,549,363,190,52,11,6,35.8552991,128.5866408,378.78,3023
55,대명3동,183,205,255,401,717,794,573,599,649,889,921,1132,1070,885,702,575,374,166,56,11,10,35.8523543,128.5790306,432.19,3167
56,대명4동,227,260,252,393,791,878,612,608,600,817,987,1091,1134,881,656,555,351,139,38,8,8,35.8479377,128.5723094,356.7,3123
57,대명5동,132,167,166,302,727,852,495,478,411,617,651,685,679,552,447,406,268,135,35,8,5,35.8432165,128.587836,399.14,2155
58,대명6동,239,334,307,334,623,779,646,726,679,746,753,821,795,621,469,382,264,139,41,10,4,35.8351341,128.5660323,219.32,2503
59,대명9동,364,460,386,555,1073,1335,1025,1151,1101,1230,1421,1309,1341,1017,821,671,422,212,71,14,11,35.8372451,128.57917,267.69,4063
60,대명10동,160,193,216,302,608,786,585,574,552,653,813,826,889,734,524,467,316,157,40,13,2,35.8399946,128.5689209,395.96,2606
61,대명11동,137,188,173,274,433,565,434,502,445,626,696,866,883,804,529,457,306,130,39,9,3,35.8361889,128.5605608,457.23,2602
62,고성동,159,147,152,207,276,326,291,338,320,389,424,445,452,381,282,260,142,81,24,6,5,35.8818788,128.5835574,257.86,1487
63,칠성동,1113,1351,1019,1041,1225,1489,1611,2087,2115,1916,1683,1649,1481,1127,871,731,523,260,79,26,10,35.8791575,128.5998609,104.13,6091
64,침산1동,84,99,84,152,228,264,232,218,209,282,409,549,489,375,254,184,100,51,22,5,2,35.8903218,128.5811404,371.91,1176
65,침산2동,954,1387,1202,1072,1171,1005,1193,1772,1834,1871,1536,1249,1060,798,545,479,309,115,36,16,3,35.8872674,128.596917,64.94,4642
66,침산3동,778,1045,1102,1247,1389,1065,1065,1416,1638,1921,1856,1622,1351,1000,795,646,421,209,46,8,5,35.8920447,128.5893065,107.01,4953
