,대지위치,사용량(KWh),Gscore
128,대구광역시 달서구 죽전동,5385.934579439252,10
129,대구광역시 중구 동산동,5225.041667,10
130,대구광역시 중구 공평동,5018.107143,10
131,대구광역시 중구 사일동,4418.0,10
132,대구광역시 중구 북내동,4406.5,10
133,대구광역시 달서구 호산동,4347.169014084507,10
134,대구광역시 중구 동인동1가,4212.848485,5
135,대구광역시 북구 고성동3가,4086.555555555556,5
136,대구광역시 달서구 두류동,4046.4266666666663,5
137,대구광역시 중구 삼덕동3가,3853.968254,5
138,대구광역시 달서구 송현동,3769.049315068493,5
139,대구광역시 달서구 성당동,3744.94,5
140,대구광역시 서구 평리동,3717.6502546689294,5
141,대구광역시 동구 불로동,3529.3698630000013,5
142,대구광역시 중구 향촌동,3375.416667,5
143,대구광역시 동구 지저동,3280.222222,5
144,대구광역시 북구 노원동1가,2792.631578947369,5
145,대구광역시 동구 서호동,2428.522727,5
146,대구광역시 동구 입석동,2406.794118,5
147,대구광역시 중구 동문동,2300.8,5
148,대구광역시 중구 서문로2가,2288.666667,5
149,대구광역시 중구 완전동,2239.0,5
150,대구광역시 동구 도동,2235.935484,5
151,대구광역시 북구 검단동,1898.189189189189,5
152,대구광역시 중구 대안동,1895.3333329999998,5
153,대구광역시 동구 율암동,1884.4,5
154,대구광역시 동구 대림동,1820.857143,5
155,대구광역시 달서구 갈산동,1706.0,5
156,대구광역시 중구 남성로,1523.391304,5
157,대구광역시 북구 노원동2가,1521.6190476190475,5
158,대구광역시 중구 장관동,1510.5714289999999,5
159,대구광역시 동구 사복동,1323.0,5
160,대구광역시 북구 금호동,1278.5,5
161,대구광역시 중구 서성로1가,1277.5,5
162,대구광역시 서구 원대동3가,1248.7346938775509,5
163,대구광역시 서구 원대동1가,1233.5294117647059,5
164,대구광역시 서구 비산동,1195.8765432098764,5
165,대구광역시 중구 계산동1가,1093.333333,5
166,대구광역시 북구 고성동2가,1042.9375,5
167,대구광역시 중구 북성로1가,1004.0,5
168,대구광역시 서구 상리동,978.0,5
169,대구광역시 중구 서문로1가,975.3846153999999,5
170,대구광역시 중구 달성동,887.3333332999997,5
171,대구광역시 중구 동인동4가,802.5,5
172,대구광역시 중구 용덕동,799.5,5
173,대구광역시 북구 노곡동,403.8,5
174,대구광역시 중구 동인동3가,314.74074069999995,5
175,대구광역시 서구 원대동2가,307.0,5
176,대구광역시 중구 서내동,222.0,5
177,대구광역시 중구 시장북로,187.0,5
